Product,Issue,State,ZIP code,Submitted via,Date received,Company,Company response,Timely response?,Consumer disputed?
Credit card,Identity theft / Fraud / Embezzlement,IN,46163,Web,9/26/14,Amex,Closed with explanation,Yes,
Credit card,Customer service / Customer relations,IN,46227,Postal mail,6/13/14,Amex,Closed with explanation,Yes,
Credit card,Application processing delay,IN,46240,Web,4/30/14,Amex,Closed with explanation,Yes,Yes
Credit card,Billing disputes,IN,46515,Web,3/3/14,Amex,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46259,Web,2/4/14,Amex,Closed with explanation,Yes,Yes
Credit card,APR or interest rate,IN,46037,Web,1/17/14,Amex,Closed with explanation,Yes,No
Credit card,Forbearance / Workout plans,IN,46064,Web,7/26/13,Amex,Closed with explanation,Yes,No
Credit card,Credit line increase/decrease,IN,46055,Web,6/3/13,Amex,Closed with explanation,Yes,Yes
Credit card,Rewards,IN,47711,Web,4/10/13,Amex,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46530,Web,3/5/13,Amex,Closed with monetary relief,Yes,No
Credit card,Closing/Cancelling account,IN,46580,Web,2/2/13,Amex,Closed with explanation,Yes,No
Credit card,Payoff process,IN,47246,Web,1/15/13,Amex,Closed with explanation,Yes,Yes
Credit card,Transaction issue,IN,46250,Referral,12/19/12,Amex,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46037,Web,11/9/12,Amex,Closed with non-monetary relief,Yes,No
Credit card,Credit reporting,IN,46074,Web,10/2/12,Amex,Closed with explanation,Yes,No
Credit card,Transaction issue,IN,46107,Web,6/19/12,Amex,Closed with explanation,Yes,No
Credit card,Rewards,IN,46226,Referral,6/5/12,Amex,Closed with non-monetary relief,Yes,No
Credit card,Credit line increase/decrease,IN,46635,Web,5/22/12,Amex,Closed without relief,Yes,No
Credit card,APR or interest rate,IN,46033,Postal mail,5/15/12,Amex,Closed without relief,Yes,No
Credit card,Closing/Cancelling account,IN,46077,Phone,3/19/12,Amex,Closed without relief,Yes,No
Credit card,Rewards,IN,46074,Web,1/10/12,Amex,Closed with relief,Yes,No
Credit card,Delinquent account,IN,46229,Web,8/8/14,Atlanticus Services Corporation,Closed,Yes,
Credit card,Closing/Cancelling account,IN,47304,Web,9/4/14,Bank of America,Closed with non-monetary relief,Yes,
Credit card,Other,IN,47408,Web,5/15/14,Bank of America,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,47145,Web,4/8/14,Bank of America,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46240,Web,4/4/14,Bank of America,Closed with non-monetary relief,Yes,No
Credit card,Customer service / Customer relations,IN,37043,Postal mail,4/3/14,Bank of America,Closed with explanation,Yes,Yes
Credit card,Identity theft / Fraud / Embezzlement,IN,47150,Postal mail,2/7/14,Bank of America,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46567,Phone,2/5/14,Bank of America,Closed with monetary relief,Yes,No
Credit card,Payoff process,IN,46970,Postal mail,10/11/13,Bank of America,Closed with explanation,Yes,No
Credit card,Closing/Cancelling account,IN,47586,Postal mail,9/30/13,Bank of America,Closed with explanation,Yes,No
Credit card,Payoff process,IN,46767,Phone,7/16/13,Bank of America,Closed with explanation,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46350,Referral,6/1/13,Bank of America,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,47805,Web,5/22/13,Bank of America,Closed with explanation,Yes,Yes
Credit card,Forbearance / Workout plans,IN,47433,Web,4/10/13,Bank of America,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,47906,Web,2/8/13,Bank of America,Closed with monetary relief,Yes,No
Credit card,Late fee,IN,47906,Web,1/8/13,Bank of America,Closed with explanation,Yes,No
Credit card,APR or interest rate,IN,46617,Web,12/10/12,Bank of America,Closed with monetary relief,Yes,No
Credit card,Identity theft / Fraud / Embezzlement,IN,46804,Web,12/3/12,Bank of America,Closed with explanation,Yes,No
Credit card,Late fee,IN,46251,Web,11/13/12,Bank of America,Closed with monetary relief,Yes,No
Credit card,Credit line increase/decrease,IN,46360,Web,8/26/12,Bank of America,Closed with explanation,No,No
Credit card,Unsolicited issuance of credit card,IN,46226,Referral,8/14/12,Bank of America,Closed with explanation,Yes,No
Credit card,Advertising and marketing,IN,47711,Web,7/19/12,Bank of America,Closed with monetary relief,Yes,No
Credit card,Credit reporting,IN,46567,Web,7/3/12,Bank of America,Closed with explanation,Yes,No
Credit card,Billing disputes,IN,46147,Referral,5/7/12,Bank of America,Closed with relief,Yes,No
Credit card,APR or interest rate,IN,46542,Web,5/2/12,Bank of America,Closed with relief,Yes,No
Credit card,APR or interest rate,IN,46544,Referral,4/20/12,Bank of America,Closed without relief,Yes,No
Credit card,Credit reporting,IN,46077,Web,3/26/12,Bank of America,Closed with relief,Yes,No
Credit card,Credit reporting,IN,46360,Referral,3/12/12,Bank of America,Closed without relief,Yes,No
Credit card,Billing disputes,IN,46324,Phone,3/7/12,Bank of America,Closed with relief,Yes,No
Credit card,Billing statement,IN,46240,Web,2/29/12,Bank of America,Closed with relief,Yes,No
